"drug_id","spec","qty","rule_key","pre_tc","note"
(捷苏)复方氨基酸注射液18AA-VⅡ型,"200ml:20.650g(总氨基酸)",30,复方氨基酸注射液(18AA-Ⅶ),,
"0.9%氯化钠注射液","100ml:0.9g直立式聚丙烯输液袋(双阀)",120,氯化钠注射液,,
"0.9%氯化钠注射液","250ml:2.25g直立式聚丙烯输液袋(双阀)",40,氯化钠注射液,,
"0.9%氯化钠注射液","500ml:4.5g直立式聚丙烯输液袋(双阀)",30,氯化钠注射液,,
"10%葡萄糖注射液","500ml:50g直立式聚丙烯输液袋装（双阀）",30,葡萄糖注射液,,
"5%葡萄糖注射液","250ml:12.5g直立式聚丙烯输液袋(双阀)",40,葡萄糖注射液,,
"5%葡萄糖注射液","500ml:25g直立式聚丙烯输液袋(双阀)",30,葡萄糖注射液,,
"50%葡萄糖注射液（塑料）","20ml:10g",50,葡萄糖注射液,,
丁苯酞软胶囊,"0.1g*24粒",24,丁苯酞软胶囊（恩必普）,,
丁苯酞软胶囊（恩必普）,"0.1g*24粒",24,丁苯酞软胶囊,,
丙戊酸钠注射用浓溶液,"5ml:0.5g*10支",10,丙戊酸钠注射用浓溶液,,
丙戊酸钠缓释片(II),"0.2g*30片",30,丙戊酸钠缓释片(II),,
丙戊酸钠缓释片(Ⅰ),"0.5g*30片",30,丙戊酸钠缓释片(Ⅰ),,
丙泊酚中/长链脂肪乳注射液,"20ml：0.2g*4支",4,丙泊酚中/长链脂肪乳注射液,,
中/长链脂肪乳注射液(C8-24Ve),"250ml:25g(大豆油)与中链甘油三酸酯25g",30,中/长链脂肪乳注射液(C8~24Ve),,
二羟丙茶碱注射液,"2ml:0.25g*10支",10,二羟丙茶碱注射液,,
云南白药胶囊,"0.25g*32粒",32,云南白药胶囊,,
人粒细胞刺激因子注射液,"150ug/0.6ml/支*10支/盒",10,人粒细胞刺激因子注射液,,
依托咪酯乳状注射液,"10ml：20mg*5支",5,依托咪酯乳状注射液,,
依折麦布片,"10mg*20片",20,依折麦布片,,
依诺肝素钠注射液,"0.6ml：6000AXaIU/10支/盒",10,依诺肝素钠注射液,,
克林霉素磷酸酯注射液,"4ml:0.6g",5,克林霉素磷酸酯注射液,,
养血清脑颗粒,"4g*15袋",15,养血清脑颗粒,,
冻干人用狂犬疫苗(Vero细胞),"0.5ml/支",5,,,
利伐沙班片,"10mg*30片",30,利伐沙班片,,
利伐沙班片,"15mg*30片",30,利伐沙班片,,
刺五加注射液,"20ml*3支",3,刺五加注射液,,
加巴喷丁胶囊,"0.3g*2*12粒/板/盒",24,加巴喷丁胶囊（迭力）,,
加巴喷丁胶囊（迭力）,"0.3g*2*12粒/板/盒",24,加巴喷丁胶囊,,
华法林钠片,"2.5mg*60片",60,华法林钠片,,
单硝酸异山梨酯缓释片,"30mg*24片",24,单硝酸异山梨酯缓释片,,
卡培他滨片,"0.5g*12片",12,卡培他滨片,,
卡托普利片,"25mg*84片",84,卡托普利片,,
卡马西平片,"0.1g*100片",100,卡马西平片,,
厄贝沙坦氢氯噻嗪片,"150mg/12.5mg*7片",7,厄贝沙坦氢氯噻嗪片,,
厄贝沙坦氢氯噻嗪片,"150mg:12.5mg*28片",28,厄贝沙坦氢氯噻嗪片,,
厄贝沙坦片,"0.15g*12片",12,厄贝沙坦片（伊达力）,,
厄贝沙坦片（伊达力）,"0.15g*12片",12,厄贝沙坦片,,
去乙酰毛花苷注射液,"0.4mg*2ml*2支",2,去乙酰毛花苷注射液,,
参附注射液,"10ml",5,参附注射液,,
右佐匹克隆片,"3mg*7片",7,右佐匹克隆片,,
右旋糖酐铁注射液,"2ml:50mg",5,右旋糖酐铁注射液,,
右酮洛芬氨丁三醇注射液,"2ml:50mg*6支",6,右酮洛芬氨丁三醇注射液,,
吲哚布芬片,"0.2g*7片",7,吲哚布芬片,,
吸入用乙酰半胱氨酸溶液,"3ml:0.3g*5支",5,吸入用乙酰半胱氨酸溶液,,
吸入用复方异丙托溴铵溶液,"2.5ml:0.5mg:2.5mg*10支",10,吸入用复方异丙托溴铵溶液,,
吸入用布地奈德混悬液,"2ml:1mg*30支/盒",30,吸入用布地奈德混悬液,,
吸入用硫酸沙丁胺醇溶液,"2.5ml:5mg*10支",10,吸入用硫酸沙丁胺醇溶液,,
呋塞米注射液,"2ml：20mg*10支/盒",10,呋塞米注射液,,
呋塞米片,"20mg*100片",100,呋塞米片,,
咖啡酸片,"0.1g*36片",36,咖啡酸片,,
咪达唑仑注射液,"10mg*2ml",5,咪达唑仑注射液,,
咳特灵胶囊,"30粒/盒,1粒含小叶榕干浸膏360mg,马来酸氯苯那敏1.4mg",30,咳特灵胶囊,,
喜炎平注射液,"50mg*2ml",6,喜炎平注射液,,
地塞米松磷酸钠注射液,"5mg*1ml*10支",10,地塞米松磷酸钠注射液,,
地奥司明片,"0.45g*48片",48,地奥司明片,,
地西泮注射液,"10mg*2ml*10支",10,地西泮注射液,,
地西泮片,"2.5mg*100片",100,地西泮片(安定片),,
地西泮片(安定片),"2.5mg*100片",100,地西泮片,,
地高辛片,"0.25mg*30片",30,地高辛片,,
坎地沙坦酯片,"4mg*60片",60,坎地沙坦酯片,,
