"txn_id","client_id","drug_id","spec","req_qty","status","created_at","committed_at","note"
"20260107133425_27028",DESKTOP-O20Q6F9,肝素钠注射液,"2ml:1.25万单位*10支",1,COMMITTED,"2026-01-07 05:34:25","2026-01-07 05:34:26",
"20260107133431_49684",DESKTOP-O20Q6F9,地塞米松磷酸钠注射液,"5mg*1ml*10支",1,COMMITTED,"2026-01-07 05:34:31","2026-01-07 05:34:31",
"20260107152127_27728",ZYY-PC,盐酸氨基葡萄糖胶囊,"0.75g*60粒",20,ROLLED_BACK,"2026-01-07 15:21:28",,
"20260107152326_18150",ZYY-PC,盐酸氨基葡萄糖胶囊,"0.75g*60粒",20,ROLLED_BACK,"2026-01-07 15:23:26",,
"20260107152333_22402",ZYY-PC,塞来昔布胶囊,"0.2g*30粒",10,ROLLED_BACK,"2026-01-07 15:23:33",,
"20260107152336_57646",ZYY-PC,盐酸氨基葡萄糖胶囊,"0.75g*60粒",20,ROLLED_BACK,"2026-01-07 15:23:36",,
"20260107152351_46465",ZYY-PC,盐酸氨基葡萄糖胶囊,"0.75g*60粒",20,ROLLED_BACK,"2026-01-07 15:23:51",,
"20260107153550_51836",DESKTOP-O20Q6F9,咳特灵胶囊,"30粒/盒,1粒含小叶榕干浸膏360mg,马来酸氯苯那敏1.4mg",15,COMMITTED,"2026-01-07 15:35:50","2026-01-07 07:35:51",
"20260107154819_26484",DESKTOP-O20Q6F9,奥美拉唑肠溶胶囊,"20mg*28粒",10,COMMITTED,"2026-01-07 15:48:19","2026-01-07 07:48:19",
"20260107154827_32792",DESKTOP-O20Q6F9,多潘立酮片,"10mg*30片",15,COMMITTED,"2026-01-07 15:48:27","2026-01-07 07:48:27",
"20260107154832_34622",DESKTOP-O20Q6F9,复方胃蛋白酶颗粒,"10g*18袋",15,COMMITTED,"2026-01-07 15:48:32","2026-01-07 07:48:32",
"20260107160216_17354",DESKTOP-O20Q6F9,奥美拉唑肠溶胶囊,"20mg*28粒",14,COMMITTED,"2026-01-07 16:02:16","2026-01-07 08:02:16",
"20260107162702_87000",DESKTOP-O20Q6F9,非那雄胺片,"5mg*30片",7,ROLLED_BACK,"2026-01-07 16:27:02",,
"20260107163523_68002",DESKTOP-O20Q6F9,非那雄胺片,"5mg*30片",7,COMMITTED,"2026-01-07 16:35:23","2026-01-07 08:35:24",
"20260107163527_82691",DESKTOP-O20Q6F9,盐酸坦索罗辛缓释胶囊,"0.2mg*21粒",7,COMMITTED,"2026-01-07 16:35:27","2026-01-07 08:35:27",
