"txn_id","pool_id","take_qty","trace_code"
"20260107133425_27028",118,1,"83875460029235526635"
"20260107133431_49684",120,1,"81030365223517866367"
"20260107152127_27728",1,20,"84368340095732222269"
"20260107152326_18150",2,20,"84368340095732144132"
"20260107152333_22402",11,10,"83748450917495040093"
"20260107152336_57646",3,20,"84368340095732308973"
"20260107152351_46465",4,20,"84368340095732061413"
"20260107153550_51836",113,15,"81721220128600767256"
"20260107154819_26484",183,10,"83762221630317900160"
"20260107154827_32792",173,15,"81466100402556731082"
"20260107154832_34622",214,15,"83094070019444991467"
"20260107160216_17354",183,14,"83762221630317900160"
"20260107162702_87000",61,7,"84651270009303837514"
"20260107163523_68002",62,7,"84651270009879475861"
"20260107163527_82691",71,7,"84470890035554705882"
"20260107172628_54237",5,20,"84368340095888198231"
"20260107172632_20257",12,10,"83748450917495945604"
"20260107172644_21253",277,1,"83670840346155752752"
"20260107172652_56073",203,4,"84665810035487195951"
"20260107172659_35107",114,1,"81738400059647418287"
"20260107172715_17858",114,1,"81738400059647418287"
"20260107182825_89505",122,18,"81645840434875296231"
"20260107182853_13030",151,8,"81346770491192696326"
"20260107183839_98544",290,7,"83604460049021834740"
"20260107183842_52259",321,15,"81066381427630514820"
"20260107184205_52709",252,30,"84618760214544719128"
"20260107202714_50088",171,4,"83762221630317900160"
"20260107202714_50088",172,2,"83762221630318186493"
"20260107205707_28510",114,1,"81738400059647418287"
"20260107215547_14280",353,1,"81010540143600399384"
"20260107215555_70443",341,1,"81490550434417320873"
"20260107215605_63358",351,1,"83590670055822762121"
"20260107220027_36114",371,1,"81808200044135340517"
"20260107220033_79359",351,1,"83590670055822762121"
"20260107220038_65122",341,2,"81490550434417320873"
"20260107220044_23973",351,1,"83590670055822762121"
"20260107220049_77210",351,1,"83590670055822762121"
"20260107220220_13496",374,1,"84660610000201019339"
"20260107220226_19786",374,1,"84660610000201019339"
"20260107220233_56213",371,1,"81808200044135340517"
"20260107220238_58374",252,30,"84618760214544719128"
"20260107220245_39768",253,30,"84618760214543665699"
"20260107220251_32480",307,20,"84042780577141531136"
"20260107220251_32480",308,8,"84042780571652513949"
"20260107220435_26565",297,20,"83894260323142801007"
"20260107220435_26565",298,1,"83894260323142657161"
"20260107220507_68441",351,1,"83590670055822762121"
"20260107220522_41611",370,1,"81604810378751274937"
"20260107220532_94816",191,6,"84665810035487195951"
"20260107220534_72739",141,3,"84394940049386153241"
"20260107220540_64956",374,1,"84660610000201019339"
"20260107220545_21598",374,1,"84660610000201019339"
"20260107220547_67162",114,1,"81738400059647418287"
"20260107220553_78313",135,1,"81314470108388838900"
"20260107220558_78601",135,1,"81314470108388838900"
"20260107222134_30875",102,5,"81341970643864083322"
"20260107232520_62887",172,10,"83762221630318186493"
"20260107232532_55009",172,10,"83762221630318186493"
"20260107232558_25697",172,6,"83762221630318186493"
"20260107232558_25697",173,4,"83762221630316223173"
